四时运灰琯 一夕变冬春 送寒余雪尽 迎岁早梅新
京路马駸駸 尘劳日向深 蒙泉聊息驾 可以洗君心
兹晨戒流火 商飙早已惊 云天收夏色 木叶动秋声
风艳霏霏去 羁人处处游 明年纵相见 不在此枝头
岂是昧容华 岂不知机织 自是生寒门 良媒不相识
金炉烟霭微 银釭残影灭 出户独裴回 落花满明月
累年无的信 每夜梦边城 袖掩千行泪 书封一尺情
自到西川住 唯君别有情 常逢对门远 又隔一重城
艰难别离久 中外往还深 已改当时法 空余旧日心
文字元无底 功夫转到难 苦心三百首 暂请侍郎看
万古汨罗深 骚人道不沉 明明唐日月 应见楚臣心
星落少微宫 高人入古风 几年才子泪 并写五言中
清气宿我心 结为清泠音 一夜吟不足 君来相和吟
敢竞桃李色 自呈刀尺功 蝶犹迷剪翠 人岂辨裁红
野酌乱无巡 送君兼送春 明年春色至 莫作未归人
自君之出矣 宝镜为谁明 思君如陇水 长闻呜咽声
春禽犹竞啭 夏木忽交阴 稍觉秋山远 俄惊冬霰深
四溟杯渌醑 五岳髻青螺 挥汗曾成雨 画地亦成河
蚊眉自可托 蜗角岂劳争 欲效丝毫力 谁知蝼蚁诚
八树拂丹霄 四时青不凋 秋风何处起 先袅最长条
夹岸复连沙 枝枝摇浪花 月明浑似雪 无处认渔家
袅袅古堤边 青青一树烟 若为丝不断 留取系郎船
绮霞明赤岸 锦缆绕丹枝 楚客正愁绝 西风且莫吹
游丝何所似 应最似春心 一向风前乱 千条不可寻
无风才到地 有风还满空 缘渠偏似雪 莫近鬓毛生
花阑莺亦懒 不语似含情 何言百啭舌 唯余一两声
一声清溽暑 几处促流年 志士心偏苦 初闻独泫然
雨绝苍苔地 月斜青草阶 蛩鸣谁不怨 况是正离怀
枫岸月斜明 猿啼旅梦惊 愁多肠易断 不待第三声
那言柳乱垂 尽日任风吹 欲识千条恨 和烟折一枝
倾心曾向日 在手幸摇风 羡尔逢提握 知名自谢公
幽深红叶寺 清净白毫僧 古殿长鸣磬 低头礼昼灯
四海兵初偃 平津阁正开 谁知大炉火 还有不然灰
一株新柳色 十里断孤城 为近东西路 长悬离别情
停桡横水中 举目孤烟外 借问吴溪人 谁家有山卖
松下问童子 言师采药去 只在此山中 云深不知处
香炉一峰绝 顶在寺门前 尽是玲珑石 时生旦暮烟
騕褭锦障泥 楼头日又西 留欢住不住 素齿白铜鞮
哀怨杨叛儿 骀荡郎知否 香死博山炉 烟生白门柳
乱雪从教舞 回风任听吹 春寒能作底 已被柳条欺
寒空五老雪 斜月九江云 钟声知何处 苍苍树里闻
银地秋月色 石梁夜溪声 谁知屐齿尽 为破烟苔行
不挂丝纩衣 归向寒岩栖 寒岩风雪夜 又过岩前溪
家寄茅洞中 身游越城下 宁知许长史 不忆陈司马
武夷无上路 毛径不通风 欲共麻姑住 仙城半在空
传闻废淫祀 万里静山陂 欲慰灵均恨 先烧靳尚祠
远羡五云路 逶迤千骑回 遗簪唯一去 贵赏不重来
生事同漂梗 机心在野船 如何临逝水 白发未忘筌
登岩背山河 立石秋风里 隐见浙江涛 一尺东沟水
蕴玉抱清辉 闲庭日潇洒 块然天地间 自是孤生者
流水音长在 青霞意不传 独悲形解后 谁听广陵弦
清景持芳菊 凉天倚茂松 名山何必去 此地有群峰
赋感邻人笛 诗留夫子墙 延年如有作 应不用山王
松倚苍崖老 兰临碧洞衰 不劳邻舍笛 吹起旧时悲
偶来冠盖里 愧是旧三公 自喜无兵术 轻裘上閟宫
雪覆寒溪竹 风卷野田蓬 四望无行迹 谁怜孤老翁
冬逐更筹尽 春随斗柄回 寒暄一夜隔 客鬓两年催
昔日征黄绮 余惭在凤池 今来招隐士 恨不见琼枝
已被月知处 斩新风到来 无人伴幽境 多取木兰栽
怪得北风急 前庭如月辉 天人宁许巧 剪水作花飞
落日早蝉急 客心闻更愁 一声来枕上 梦里故园秋
连骑出都门 秋蝉噪高柳 落日辞故人 自醉不关酒
初映钩如线 终衔镜似钩 远澄秋水色 高倚晓河流
激曲萦飞箭 浮沟泛满卮 将来山太守 早向习家池
不资冬日秀 为作暑天寒 先植诚非凤 来翔定是鸾
巉巉雪中峤 磊磊标方峭 勿为枕苍山 还当础清庙
雨合飞危砌 天开卷晓窗 齐平联郭柳 带绕抱城江
夹岸凝清素 交枝漾浅沦 味调方荐实 腊近又先春
喷日舒红景 通蹊茂绿阴 终期王母摘 不羡武陵深
疏凿徒为巧 圆洼自可澄 倒花纷错秀 鉴月静涵冰
顾渚吴商绝 蒙山蜀信稀 千丛因此始 含露紫英肥
缭绕缘云上 璘玢甃玉联 高高曾几折 极目瞰秋鸢
褊地难层土 因厓遂削成 浅深岚嶂色 尽向此中呈
绠汲岂无井 颠崖贵非浚 愿洒尘垢馀 一雨根茎润
霜树鸟栖夜 空街雀报明 碧山相倚暮 归雁一行斜
君咏风月夕 余当童稚年 闲窗读书罢 偷咏左司篇
且攀隋宫柳 莫忆江南春 师有怀乡志 未为无事人
上阳宫里女 玉色楚人多 西信无因得 东游奈乐何
曾答雁门偈 为怜同社人 多惭惠休句 偕得此阳春
窈窕垂涧萝 蒙茸黄葛花 鸳鸯怜碧水 照影舞金沙
魂梦天南垂 宿昔万里道 池台花气深 到处生春草
天地一身在 头颅五十过 流年消壮志 空使泪成河
越女收龙眼 蛮儿拾象牙 长安千万里 走马送谁家
去岁干戈险 今年蝗旱忧 关西归战马 海内卖耕牛
骚灵不可见 楚些竟谁闻 欲采蘋花去 沧州隔暮云
威名垂万古 勇力冠当时 回首三分国 何人赋黍离
暝色护楼台 阴云昼未开 一尘无处著 花雨遍苍苔
高堂流月明 万籁不到耳 一听清心魂 飞絮春纷起
窗户尽萧森 空阶凝碧阴 不缘冰雪里 为识岁寒心
瘴雨出虹蝀 蛮烟渡江急 尝闻岛夷俗 犀象满城邑
落尽万株红 无人解系风 今朝芳径里 惆怅锦机空
夜行无月时 古路多荒榛 山鬼遥把火 自照不照人
歌者歌未绝 愁人愁转增 空把琅玕枝 强挑无心灯
幼女才六岁 未知巧与拙 向夜在堂前 学人拜新月
买地不惜钱 为多芳桂丛 所期在清凉 坐起闻香风
行逢葛溪水 不见葛仙人 空抛青竹杖 咒作葛陂神
万籁不在耳 寂寥心境清 无妨数茎竹 时有萧萧声
湘水终日流 湘妃昔时哭 美色已成尘 泪痕犹在竹
夜吟秋山上 袅袅秋风归 月色清且冷 桂香落人衣
三复招隐吟 不知寒夜深 看看西来月 移到青天心
万古湘江竹 无穷奈怨何 年年长春笋 只是泪痕多
世事知难了 应须问苦空 羞将看花眼 来入梵王宫
乞巧望星河 双双并绮罗 不嫌针眼小 只道月明多
乌鹊语千回 黄昏不见来 漫教脂粉匣 闭了又重开
香销连理带 尘覆合欢杯 懒卧相思枕 愁吟夜起来
笑向卿卿道 耽书夜夜多 出来看玉兔 又欲过银河
一种貌如仙 人情要自偏 罗敷有底好 最得使君怜
自喜寻幽夜 新当及第年 还将天上桂 来访月中仙
窗牖月色多 坐卧禅心静 青鬼来试人 夜深弄灯影
家在洞水西 身作兰渚客 天昼无纤云 独坐空江碧
古仙炼丹处 不测何岁年 至今空宅基 时有五色烟
十访九不见 甚于菖蒲花 可怜云中月 今夜堕我家
豁开青冥颠 写出万丈泉 如裁一条素 白日悬秋天
丹砂画顽石 黄金横一尺 人世较短长 仙家爱平直
夜深秋洞里 风雨报龙归 何事触人睡 不教胡蝶飞
我住浙江西 君去浙江东 日日心来往 不畏浙江风
醉与江涛别 江涛惜我游 他年婚嫁了 终老此江头
疏散永无事 不眠常夜分 月中松露滴 风引鹤同闻
年长归何处 青山未有家 赏春无酒饮 多看寺中花
献寿人皆庆 南山复北堂 从今千万日 此日又初长
访师师不遇 礼佛佛无言 依旧将烦恼 黄昏入宅门
黄金色未足 摘取且尝新 若待重阳日 何曾异众人
羽毛生未齐 嶛峭丑于鸡 夜夜穿笼出 捣衣砧上栖
卧来扶不起 唯向主人嘶 惆怅东郊道 秋来雨作泥
荒田一片石 文字满青苔 不是逢闲客 何人肯读来
明明复夜夜 胡子即成翁 唯是真知性 不来生灭中
为底胡姬酒 长来白鼻騧 摘莲抛水上 郎意在浮花
愁声秋绕杵 寒色碧归山 送将欢笑去 收得寂寥回
驿骑难随伴 寻山半忆君 苍崖残月路 犹数过溪云
十夜郡城宿 苦吟身未闲 那堪西郭别 雪路问青山
海上清光发 边营照转凄 深闺此宵梦 带月过辽西
纤手折芙蕖 花洒罗衫湿 女伴唤回船 前溪风浪急
旅雁迎风度 阶翻月露华 砧声鸣夜永 江上几多家
登楼一南望 淮树楚山连 见雁无书寄 归吴定此年
凫鹥踏波舞 树色接横塘 远近蘼芜绿 吴宫总夕阳
玉管朝朝弄 清歌日日新 折花当驿路 寄与陇头人
入夜秋砧动 千声起四邻 不缘楼上月 应为陇头人
杨柳千寻色 桃花一苑芳 风吹入帘里 唯有惹衣香
为底胡姬酒 长来白鼻騧 摘莲抛水上 郎意在浮花
风劲角弓鸣 将军猎渭城 草枯鹰眼疾 雪尽马蹄轻
飞丝惹绿尘 软叶对孤轮 今朝入园去 物色强著人
南风吹五两 日暮竟陵城 肠断巴江月 夜蝉何处声
南檐架短廊 沙路白茫茫 尽日不归处 一庭栀子香
青青树中草 托根非不危 草生树却死 荣枯君可知
七里垂钓叟 还傍钓台居 莫恨无名姓 严陵不卖鱼
轻车何草草 独唱后庭花 玉座谁为主 徒悲张丽华
侬居石城下 郎到石城游 自郎石城出 长在石城头
大堤花月夜 长江春水流 东风正上信 春夜特来游
自君之出矣 万物看成古 千寻葶苈枝 急奈长长苦
行吟洞庭句 不见洞庭人 尽日碧江梦 江南红树春
高斋长对酒 下客亦沾鱼 不为江南去 还来郡北居
碧落新楼迥 清池古树闲 先贤尽为宰 空看县南山
坐见三生事 宗传一衲来 已知无法说 心向定中灰
河洛多尘事 江山半旧游 春风故人夜 又醉白蘋洲
碧树吴洲远 青山震泽深 无人踪范蠡 烟水暮沈沈
三十未封侯 颠狂遍九州 平生镆铘剑 不报小人雠
高才何必贵 下位不妨贤 孟简虽持节 襄阳属浩然
首阳山下路 孤竹节长存 为问无心草 如何庇本根
寒叶坠清霜 空帘著烬香 生前既无事 何事更悲伤
苏武节旌尽 李陵音信稀 花当陇上发 人向陇头归
岁律行将变 君恩竟未回 门前即潮水 朝去暮常来
千里隔烟波 孤舟宿何处 遥思耿不眠 淮南夜风雨
偶出送山客 不知游梵宫 秋光古松下 谁伴一仙翁
秋树却逢暖 未凋能几时 何须尚松桂 摇动暂青枝
夜情河耿耿 春恨草绵绵 唯有嫦娥月 从今照墓田
红烛剪还明 绿尊添又满 不愁前路长 只畏今宵短
循涯不知浅 见底似非深 永日无波浪 澄澄照我心
日下夕阴长 前山凝积翠 白鸟一行飞 联联粉书字
只谓一苍翠 不知犹数重 晚来云映处 更见两三峰
久喜房廊接 今成道路赊 明朝回首处 此地是天涯
好觅凌霜质 仍须带雨栽 须知剖竹日 便是看松来
一览断金集 再悲埋玉人 牙弦千古绝 珠泪万行新
马识青山路 人随白浪船 别君犹有泪 学道谩经年
堂闭仙人影 空坛月露初 闲听道家子 盥漱读灵书
满酌劝童仆 好随郎马蹄 春风慎行李 莫上白铜鞮
闲携九日酒 共到百花亭 醉里求诗境 回看岛屿青
此去非关兴 君行不当游 无因两处马 共饮一溪流
已作亭下别 未忘灯下情 吟多欲就枕 更漏转分明
兔边分玉树 龙底耀铜仪 会当同鼓吹 不复问官私
虽匪囊中物 何坚不可钻 一朝操政柄 定使冠三端
尔幸无羸角 何用触吾藩 若是升堂者 还应自得门
贫女貌非丑 要须缘嫁迟 还似求名客 无媒不及时
日过千万家 一家非所依 不及行尘影 犹随马蹄归
吟想旧经过 花时奈远何 别来长似见 春梦入关多
山月吟声苦 春风引思长 无由及尘土 犹带杏花香
夜雨空馆静 幽人起裴回 长安醉眠客 岂知新雁来
百鸟有啼时 子规声不歇 春寒四邻静 独叫三更月
山寺秋时后 僧家夏满时 清凉多古迹 几处有新诗
客泪如危叶 长悬零落心 况是悲秋日 临风制不禁
别远心更苦 遥将目送君 光华不可见 孤鹤没秋云
靡草似客心 年年亦先死 无由伴花落 暂得因风起
古木闽州道 驱羸落照间 投村碍野水 问店隔荒山
香荷疑散麝 风铎似调琴 不觉清凉晚 归人满柳阴
鸳鸯离别伤 人意似鸳鸯 试取鸳鸯看 多应断寸肠
楼倚霜树外 镜天无一毫 南山与秋色 气势两相高
窗外正风雪 拥炉开酒缸 何如钓船雨 篷底睡秋江
秋醪雨中熟 寒斋落叶中 幽人本多睡 更酌一樽空
细算人生事 彭殇共一筹 与愁争底事 要尔作戈矛
安邑南门外 谁家板筑高 奉诚园里地 墙缺见蓬蒿
含烟一株柳 拂地摇风久 佳人不忍折 怅望回纤手
陶菊手自种 楚兰心有期 遥知渡江日 正是撷芳时
篱东菊径深 折得自孤吟 雨中衣半湿 拥鼻自知心
阳陵郭门外 陂阤丈五坟 九泉如结友 兹地好埋君
竹浊蟠小径 屈折斗蛇来 三年得归去 知绕几千回
暮景千山雪 春寒百尺楼 独登还独下 谁会我悠悠
雨滴珠玑碎 苔生紫翠重 故关何日到 且看小三峰
贾傅松醪酒 秋来美更香 怜君片云思 一去绕潇湘
邮亭寄人世 人世寄邮亭 何如自筹度 鸿路有冥冥
只影随惊雁 单栖锁画笼 向春罗袖薄 谁念舞台风
春濑与烟远 送君孤棹开 潺湲如不改 愁更钓鱼来
金镊洗霜鬓 银觥敌露桃 醉头扶不起 三丈日还高
好鸟疑敲磬 风蝉认轧筝 修篁与嘉树 偏倚半岩生
凿破苍苔地 偷他一片天 白云生镜里 明月落阶前
终日求人卜 回回道好音 那时离别后 入梦到如今
旧事参差梦 新程逦迤秋 故人如见忆 时到寺东楼
稚子牵衣问 归来何太迟 共谁争岁月 赢得鬓边丝
道泰时还泰 时来命不来 何当离城市 高卧博山隈
瑶池罢游宴 良乐委尘沙 遭遇不遭遇 盐车与鼓车
独酌芳春酒 登楼已半醺 谁惊一行雁 冲断过江云
荆州一万里 不如蒯易度 仰首望飞鸣 伊人何异趣
三日去还住 一生焉再游 含情碧溪水 重上粲公楼
前山风雨凉 歇马坐垂杨 何处芙蓉落 南渠秋水香
新秋弦管清 时转遏云声 曲尽不知处 月高风满城
赤城云雪深 山客负归心 昨夜西斋宿 月明琪树阴
云月有归处 故山清洛南 如何一花发 春梦遍江潭
夜战桑干北 秦兵半不归 朝来有乡信 犹自寄征衣
野寺薜萝晚 官渠杨柳春 归心已无限 更送洞庭人
剑外从军远 无家与寄衣 散关三尺雪 回梦旧鸳机
向晚意不适 驱车登古原 夕阳无限好 只是近黄昏
巴江可惜柳 柳色绿侵江 好向金銮殿 移阴入绮窗
城头叠鼓声 城下暮江清 欲问渔阳掺 时无祢正平
定定住天涯 依依向物华 寒梅最堪恨 常作去年花
无奈巴南柳 千条傍吹台 更将黄映白 拟作杏花媒
乐府闻桃叶 人前道得无 劝君书小字 慎莫唤官奴
撩钗盘孔雀 恼带拂鸳鸯 罗荐谁教近 斋时锁洞房
下马捧椒浆 迎神白玉堂 如何铁如意 独自与姚苌
珠实虽先熟 琼莩纵早开 流莺犹故在 争得讳含来
众果莫相诮 天生名品高 何因古乐府 惟有郑樱桃
尝闻宓妃袜 渡水欲生尘 好借常娥著 清秋踏月轮
道却横波字 人前莫谩羞 只应同楚水 长短入淮流
春日在天涯 天涯日又斜 莺啼如有泪 为湿最高花
风露澹清晨 帘间独起人 莺花啼又笑 毕竟是谁春
帷飘白玉堂 簟卷碧牙床 楚女当时意 萧萧发彩凉
遏云歌响清 回雪舞腰轻 只要君流眄 君倾国自倾
不见姮娥影 清秋守月轮 月中闲杵臼 桂子捣成尘
朱实鸟含尽 青楼人未归 南园无限树 独自叶如帏
陶令弃官后 仰眠书屋中 谁将五斗米 拟换北窗风
孤蝶小徘徊 翩翾粉翅开 并应伤皎洁 频近雪中来
帘垂幕半卷 枕冷被仍香 如何为相忆 魂梦过潇湘
滞雨长安夜 残灯独客愁 故乡云水地 归梦不宜秋
初随林霭动 稍共夜凉分 窗迥侵灯冷 庭虚近水闻
花将人共笑 篱外露繁枝 宋玉临江宅 墙低不碍窥
无赖夭桃面 平时露井东 春风为开了 却拟笑春风
莫叹万重山 君还我未还 武关犹怅望 何况百牢关
胡马饮河洛 我家从此迁 今来独垂泪 三十六峰前
落日五湖游 烟波处处愁 沈浮千古事 谁与问东流
渺渺无穷尽 风涛几日平 年光与人事 东去一声声
花发鸟仍啼 行行路欲迷 二真无问处 虚度武陵溪
旧山诸隐沦 身在苦无身 莫锁白云路 白云多误人
处世曾无著 生前事尽非 一瓶兼一衲 南北去如归
轧轧弄寒机 功多力渐微 惟忧机上锦 不称舞人衣
单棹横疏雨 江滩秋泊时 花留身住越 月递梦还秦
江乡十年别 京国累日同 在客几多事 俱付酒杯中
鹤下紫阁云 沈沈翠微雨 独坐正无言 孤庄一声杵
虎见修行久 松知夏腊高 寒堂坐风雨 瞑目尚波涛
獬豸霜中貌 龙钟病后颜 惨伤此身事 风雪动江山
无花地亦香 有鹤松多直 向此奚必孤 山僧尽相识
莺啭才间关 蝉鸣旋萧屑 如何两鬓毛 不作千枝雪
颜凋明镜觉 思苦白云知 沧洲迷钓隐 紫阁负僧期
万叶风声利 一山秋气寒 晓霜浮碧瓦 落日度朱栏
两颔凝清霜 玉炉焚天香 为我延岁华 得入不死乡
楼居半池上 澄影共相空 谢守题诗处 莲开净碧中
山雨留清气 溪飙送早凉 时回石门步 阶下碧云光
连檐对双树 冬翠夏无尘 未肯惭桃李 成阴不待春
中峰上翠微 窗晓早霞飞 几引登山屐 春风踏雪归
上结孤圆顶 飞轩出泰清 有时迷处所 梁栋晓云生
高亭群峰首 四面俯晴川 每见晨光晓 阶前万井烟
秋台好登望 菡萏发清池 半似红颜醉 凌波欲暮时
静得尘埃外 茶芳小华山 此亭真寂寞 世路少人闲
石静如开镜 山高若耸莲 笋竿抽玉管 花蔓缀金钿
系马宫槐老 持杯店菊黄 故交今不见 流恨满川光
南溪抱瓮客 失意自怀羞 晚路谁携手 残春自白头
童稚苦相问 归来何太迟 共谁争岁月 赢得鬓边丝
春酿正风流 梨花莫问愁 马卿思一醉 不惜鹔鹴裘
晓发梳临水 寒塘坐见秋 乡心正无限 一雁度南楼
万壑朝溟海 萦回岁月多 无如此沟水 咫尺奉天波
日落江路黑 前村人语稀 几家深树里 一火夜渔归
静中无伴侣 今亦独随缘 昨夜离空室 焚香净去船
霹雳振秋岳 折松横洞门 云龙忽变化 但觉玉潭昏
忆昨送君葬 今看坟树高 寻思后期者 只是益生劳
万仞冰峭折 寒声投白云 光摇山月堕 我向石床闻
深居白云穴 静注赤松经 往往龙潭上 焚香礼斗星
巨灵掌上月 玉女盆中泉 柱史息车看 孤云心浩然
道在猜谗息 仁深疾苦除 尧聪能下听 汤网本来疏
浐曲雁飞下 秦原人葬回 丘坟与城阙 草树共尘埃
危石江中起 孤云岭上还 相逢皆得意 何处是乡关
壮士何曾悲 悲即无回期 如何易水上 未歌泪先垂
晓月千重树 春烟十里溪 过来还过去 此路不知迷
树顶烟微绿 山根菊暗香 何人独鞭马 落日上嘉祥
风兰舞幽香 雨叶堕寒滴 美人来不来 前山看向夕
婴网虽皆困 褰笼喜共归 无心期尔报 相见莫惊飞
四方无事去 宸豫杪秋来 八水寒光起 千山霁色开
高低竹杂松 积翠复留风 路剧阴溪里 寒生暑气中
晚日低霞绮 晴山远画眉 春青河畔草 不是望乡时
树发花如锦 莺啼柳若丝 更游欢宴地 悲见别离时
争挥钩弋手 竞耸踏摇身 伤颊讵关舞 捧心非效嚬
白首成何事 无欢可替悲 空余酒中兴 犹似少年时
野酌乱无巡 送君兼送春 明年春色至 莫作未归人
山空天籁寂 水榭延轻凉 浪定一浦月 藕花闲自香
桂水依旧绿 佳人本不还 只应随暮雨 飞入九疑山
早觅为龙去 江湖莫漫游 须知香饵下 触口是铦钩
根是泥中玉 心承露下珠 在君塘下种 埋没任春浦
益愧千金少 情将一饭殊 恨无泉客泪 尽泣感恩珠
孤灯照不寐 风雨满西林 多少关心事 书灰到夜深
一合相思泪 临江洒素秋 碧波如会意 却与向西流
劚尽春山土 辛勤卖药翁 莫抛破笠子 留作败天公
哭尔春日短 支颐长叹嗟 不如半死树 犹吐一枝花
独立蒹葭雨 低飞浦屿风 须知毛色下 莫入鹭鸶丛
可惜出群蹄 毛焦久卧泥 孙阳如不顾 骐骥向谁嘶
常闻天女会 玉指散天花 莫遣春风里 红芳点袈裟
卑湿长沙地 空抛出世才 已齐生死理 鵩鸟莫为灾
寄语双莲子 须知用意深 莫嫌一点苦 便拟弃莲心
荆台兰渚客 寥落共含情 空馆相思夜 孤灯照雨声
晴气熏樱蕊 丰蒙雪满林 请君三斗酒 醉卧白罗岑
一顷含秋绿 森风十万竿 气吹朱夏转 声扫碧霄寒
不见休上人 空伤碧云思 何处开宝书 秋风海光寺
鸂鶒借毛衣 喧呼鹰隼稀 云披菱藻地 任汝作群飞
十年磨一剑 霜刃未曾试 今日把似君 谁为不平事
中夜忽自起 汲此百尺泉 林木含白露 星斗在青天
晓行沥水楼 暮到悬泉驿 林月值云遮 山灯照愁寂
海底有明月 圆于天上轮 得之一寸光 可买千里春
千岩一尺璧 八月十五夕 清露堕桂花 白鸟舞虚碧
丈夫未得意 行行且低眉 素琴弹复弹 会有知音知
莫叹迢递分 何殊咫尺别 江楼到夜登 还见南台月
南游衡岳上 东往天台里 足蹑华顶峰 目观沧海水
九日不出门 十日见黄菊 灼灼尚繁英 美人无消息
策杖驰山驿 逢人问梓州 长江那可到 行客替生愁
四十归燕字 千年外始吟 已将书北岳 不用比南金
对雨思君子 尝茶近竹幽 儒家邻古寺 不到又逢秋
家住锦水上 身征辽海边 十书九不到 一到忽经年
曾梦诸侯笑 康囚议脱枷 千根池里藕 一朵火中花
一枝青竹榜 泛泛绿萍里 不见钓鱼人 渐入秋塘水
壮士不曾悲 悲即无回期 如何易水上 未歌先泪垂
二句三年得 一吟双泪流 知音如不赏 归卧故山秋
闻说到扬州 吹箫有旧游 人来多不见 莫是上迷楼
松下问童子 言师采药去 只在此山中 云深不知处
冉冉花明岸 涓涓水绕山 几时抛俗事 来共白云闲
香灯伴残梦 楚国在天涯 月落子规歇 满庭山杏花
废砌翳薜荔 枯湖无菰蒲 老媪饱藁草 愚儒输逋租
隔石觅屐迹 西溪迷鸡啼 小鸟扰晓沼 犁泥齐低畦
三月雪连夜 未应伤物华 只缘春欲尽 留著伴梨花
客愁看柳色 日日逐春深 荡漾春风里 谁知历乱心
吴国初成阵 王家欲解围 拂巾双雉叫 飘瓦两鸳飞
曾话黄陵事 今为白日催 老无儿女累 谁哭到泉台
东人望归马 马归莲峰下 莲峰与地平 亦不更征兵
刀剑作锄犁 耕田古城下 高秋禾黍多 无地放羊马
在乡身亦劳 在边腹亦饱 父兄若一处 任向边头老
前杵与后杵 筑城声不住 我愿筑更高 得见秦皇墓
秦娥十四五 面白于指爪 羞人夜采桑 惊起戴胜鸟
牧童见客拜 山果怀中落 昼日驱牛归 前溪风雨恶
别来十二月 去到漏天边 不是因逢闰 还应是隔年
帝里春无意 归山对物华 即应来日去 九陌踏槐花
君家桂林住 日伐桂枝炊 何事东堂树 年年待一枝
一第知何日 全家待此身 空将灞陵酒 酌送向东人
一去龙门侧 千年凤影移 空余剪圭处 无复在孙枝
岭外音书绝 经年复历春 近乡情更怯 不敢问来人
家住东皋去 好采旧山薇 自省游泉石 何曾不夜归
带香入鲍肆 香气同鲍鱼 未入犹可悟 已入当何如
美人如新花 许嫁还独守 岂无青铜镜 终日自疑丑
庭花已结子 岩花犹弄色 谁令生处远 用尽春风力
短鬟一如螓 长眉一如蛾 相共棹莲舟 得花不如他
手推呕哑车 朝朝暮暮耕 未曾分得谷 空得老农名
远梦如水急 白发如草新 归期待春至 春至还送人
涧草短短青 山月朗朗明 此夜目不掩 屋头乌啼声
别家鬓未生 到城鬓似发 朝朝临川望 灞水不入越
东西是长江 南北是官道 牛羊不恋山 只恋山中草
阿娇生汉宫 西施住南国 专房莫相妒 各自有颜色
蛱蝶空中飞 夭桃庭中春 见他夫妇好 有女初嫁人
槟榔自无柯 椰叶自无阴 常羡庭边竹 生笋高于林
野雀空城饥 交交复飞飞 勿怪官仓粟 官仓无空时
寒女面如花 空寂常对影 况我不嫁容 甘为瓶堕井
月堕沧浪西 门开树无影 此时归梦阑 立在梧桐井
游人未入门 花影出门前 将军来此住 十里无荒田
见花忆郎面 常愿花色新 为郎容貌好 难有相似人
但见出门踪 不见入门迹 却笑山头女 无端化为石
衡门亦无路 何况入西秦 灸病不得穴 徒为采艾人
西风吹急景 美人照金井 不见面上花 却恨井中影
莲子房房嫩 菖蒲叶叶齐 共结池中根 不厌池中泥
庭草根自浅 造化无遗功 低回一寸心 不敢怨春风
夷陵火焰灭 长平生气低 将军临老病 赐剑咸阳西
千扉不当路 未似开一门 若遣绿珠丑 石家应尚存
昔人登此地 丘垄已前悲 今日又非昔 春风能几时
沧浪临古道 道上石成尘 自有沧浪峡 谁为无事人
百战未言非 孤军惊夜围 山河意气尽 泪湿美人衣
月午篱南道 前村半隐林 田翁独归处 荞麦露花深
野树花初发 空山独见时 踟蹰历阳道 乡思满南枝
劝君金屈卮 满酌不须辞 花发多风雨 人生足别离
莫问古宫名 古宫空有城 惟应东去水 不改旧时声
远天明月出 照此谁家楼 上有罗衣裳 凉风吹不休
台山初罢雾 岐海正分流 渔浦飏来笛 鸿逵翼去舟
舟中采莲女 两两催妆梳 闻早渡江去 日高来起居
沧溟八千里 今古畏波涛 此日征南将 安然渡万艘
水浅鱼争跃 花深鸟竞啼 春光看欲尽 判却醉如泥
几经人事变 又见海涛翻 徒起如山浪 何曾洗至冤
坚轻筇竹杖 一枝有九节 寄与沃洲人 闲步青山月
把盏非怜酒 持竿不为鱼 唯应嵇叔夜 似我性慵疏
青楼临大道 一上一回老 所思终不来 极目伤春草
花开蝶满枝 花落蝶还稀 惟有旧巢燕 主人贫亦归
劝君金屈卮 满酌不须辞 花发多风雨 人生足别离
花开蝶满枝 花谢蝶还稀 惟有旧巢燕 主人贫亦归
寿夭虽云命 荣枯亦大偏 不知雷氏剑 何处更冲天
击石易得火 扣人难动心 今日朱门者 曾恨朱门深
即是春风尽 仍沾夜雨归 明朝更来此 兼恐落花稀
生持节操心 死作坚贞鬼 至今坟上春 草木无花卉
送君若浪水 叠叠愁思起 梦魂如月明 相送秋江里
我心岂不平 我目自不明 徒云备双足 天下何由行
玳瑁应难比 斑犀定不加 天嫌未端正 满面与妆花
杜甫栗亭诗 诗人多在口 悠悠二甲子 题纪今何有
立石泥功状 天然诡怪形 未尝私祸福 终不费丹青
大朴逐物尽 哀我天地功 争得荣辱心 洒然归西风
一岁犹未满 九泉何太深 唯余卷书草 相对共伤心
万顷湖天碧 一星飞鹭白 此时放怀望 不厌为浮客
醒来山月高 孤枕群书里 酒渴漫思茶 山童呼不起
破落古关城 犹能扼帝京 今朝行客过 不待晓鸡鸣
一勺如琼液 将愚拟望贤 欲知心不变 还似饮贪泉
山期须早赴 世累莫迟留 忽遇狂风起 闲心不自由
溪南越乡音 古柳渡江深 日晚无来客 闲船系绿阴
穿烟泉潺湲 触竹犊觳觫 荒篁香墙匡 熟鹿伏屋曲
疏杉低通滩 冷鹭立乱浪 草彩欲夷犹 云容空淡荡
人日兼春日 长怀复短怀 遥知双彩胜 并在一金钗
君心莫淡薄 妾意正栖托 愿得双车轮 一夜生四角
春庭晓景别 清露花逦迤 黄蜂一过慵 夜夜栖香蕊
桃李傍檐楹 无人赏春华 时情重不见 却忆菖蒲花
南北路何长 中间万弋张 不知烟雾里 几只到衡阳
鬓乱羞云卷 眉空羡月生 中原犹将将 何日重卿卿
