皎,千岩,趣,况
今夜,光,依旧,愁
朱,阶,深山,云泉
疏尽,浩荡,空亭,声
寝处,别人,无数,不看花
驰,尘,灵芝,斋
绿丝,扑,合,行人
归来,羡,中,送
坡,根,无,独归
高宫,共,谁语,双松
荒,驩,天,交州
原断,悠悠,江亭,水自流
渡,暂明,郡,情
江平,波,悲陵,水中
劝尔,毛红,如今,终
早,南日,常,满林
坠露,桂,物,何殊
浮云,相亲,秋风,不
暂停,无情,老,发
相连,应难,南海,向愁
青梅,阴绕,客,匡床
真久,相逢,成,恨
雪叠,恨,去,俱
病,无,情,尽日
堂,白日,奇,有仙
院,并立,情,前头
结,红楼,醉,捎断
仙,寻,白鹿闻,深
越岭,京城,踏雪,花
知,上,诸,与郡
深浅,残红,树边,最
官道,可怜,巡花,记玄宗
芦,见,相逢,半
云,频,亭,上头
声,共,山,不知
清,称,物,满绳床
处,寄,湖边,船
春城,僧期,树,午
爱,犹,近,主人
停,姑,低声,无
濛濛,恨个,桡,鸳鸯
花,雨后天,耕种,条
不,锁,下视,疑
方物,只应,交,花
晴宜,御,无,牡丹
杏园,数,生涯,竹
丁丁,未,蠹,无
灭,时径,堪入,中
相逢,无尘,金天,叶上
缭绕,桃花,堪入,中
满,深,年,今日
霅,梓,清风,只能
阙,舫,上,清
新,依旧,红妆,重来
许通,更,云,山
厚礼,余,了终,不难
俦,风月,后辈,安
浓芳,初急,人醉,似
满,旧苦,力,生来
乖拙,泥,弹,胡车
遥,上,还平地,占
一去不须,辽东,辞仙,鸡
夜深行,衣裳,好,成
入,亦愁,各得,到闻
风流,新裁,留,花信
情难,尽桥,自此,一条条
两崖,罅间,险,世
诗境,声,老,一溪
槐,御,南国,去汀
计,甘,玉,山
香,游仙,覆,看
满,羡,中,沙
阑,最,无益,当归
驿路,一闻,落日,从此
影,深,梳,黛
世,影,便作,生不成名
留,看,醉,不曾
遭,仙,沙,羞见
日,带雨,珍重,红
频,愁,台,条
慢,恨,醒来,成愁
无异,朝来,客久,衣
秋,深,病,争
惊,衡门,成身,逐
两,相闻,失,云
栈出,出,今日,花
茫茫,却,今宵,共
已,山,少,僧房
尽日,眠,寂寞,榆荚
往事,明,眠不得,声
曾览,国破,柳,犹
生前,月,声,深
腊前,新,送,是忆
雪楼,梁,德宗,敢
山,人间,见月,鹇
小路,犹,村园,花
相,小桥,无人,船上
还,少,从愁,共愁
密,岁,疑,根
汉,岂,南度,声
亦愁,汉,剩,无
乡,此生,见,知
汉,从此,恸,云
陷,青,敢,收泪
愁,火,回眠,一溪
山桃,繁花,主人,客
白云,泉,多野,花
今,乔家,身,见
蕃,存,侵不灭,印
澹荡,共,心蒂,吹
莫怪,年华,恨,开花
老,青春,纵作,醉
曾谙,雁,桑,身
阙云,旧,今朝,休叹
春,拂岸,金,花
地身,胡山,里泪,欠
云山,名利,十,地角
春岭,暖色,见,花溪
泥中,深,易,愁
人间,山衣,草,雨
几千,识,见,看
喧,黄昏,合,耳根
抛愁,醉,觉,床头
稀,掩扉,上月,水楼闲
已,声声,不知,犹疑
逢,风流,频,蔡
船,明月,看,天
散,无因,西望,知人意
故居,情,夜吟,七八
卢,鹤,停杯,褐
正,豪,闲事,光
毅,蒲,终,更一呼
没,玉,满,十三
草,裙,小楫,愁
千秋,无,得意,金
蟪蛄,士,贞,封
没,沉,事业,树
恩,冤魂,珠,杀
无,亡,少,入
韩,麻,天,解
少,无,竹,覆
玉,泥,细雨,璀
人,芜,山下,珮月
鵩鸟飞,去,枉,自然
微雨,骅,园憔,花
香,茫茫,池,锦
荒,无,恨,时
时有味,爱,江海,昭陵
一业,山川,金陵,公
映,村山,朝四百八十寺,中
松柏,尽日,已绝,游
锦池,莺,微雨,鸳鸯
声,寒汀,不用,长亭
黄昏,根,千,无
拂霜,冰,游,合有文章
清,层,天上,人间
武台,开,西江,强
春尽,兰花,楚国,潇
树,夸酒,恨,去
欢,侵霜,堆,阑
山,繁,玉,翠云
杨,最,疾,东风
开,态,故国,掩村
一朵梅,坎,惊,欲
尽日,大,玉,里
忽忽,晦,羡,一如
棹,岁,丝禅,轻
怨,蜀,两,雨
根丹,两,山北,有岩
纤,丹青,玉窗,犹
明,翣,归来,呼儿
偶效,秋,江南,孤舟
树,杨,不,去
白鸥,净,老,送
树立,道,分散,江吹
铁,磨,东风,深锁
龙,缚,五湖,终
沙,近,亡,后庭
萧萧,淅淅溪,新,杜陵
新,脉脉,亡,人
十,山边,知何,见
家事,男儿,江东,卷土重来
龙,驰骋,主,钓鱼郎
隐隐,江南,明,教
雪,云,红三百,唱
渠,锁,半,流
龙舟,汉梁,朝念,杀
初,参差,冰底,不知
西江,影,吹,明
广文,共,自说,年
少,阙衡,忽来,谩疑
声,校,与玉,吹
中,痕,江湖,西日
游,故国,倚,送
树,扶床,销,不知
橘,野渡,连云人,差池
男儿,画眉,几度,上
云,分,人,咽
相,子,侍,还道
梁,恩雠,左边,老
草,自古,白发,贵人
苍苍,听,骑,文星
山极,声,千,霏霏
斑斑,存,妃泣,泪痕
流,流,盛,恨
深,香尘,寄闲,笑
玩归,必,无罚,更
松寺,台,倚东,涨溪
横,满,夜来雨,醉
看,还,空,蔷薇
漫,紧,客心孤,红袖
未识,不,一别,何日
连云,送,孤,窗外
芙蓉,关山,股,相逢
饮酒,云,男儿,钱
裁,云,少,裙
深,信,皇,幸
通,江西,今日,秋
放榜,人,酿酒,已
风流,倚楼,邻绣,花
阙,仙,休,门
江南,中,扬州,青楼
思何,影,明月,阑
深,夕,孤舟,逢
寻芳,见未,花,满
山,白云,爱,花
未,丝何,老,中年
秋露,最,无言,笑
阅,教贱,正雨,觉眠
条,丁,敲,珠泪
百年,春,成,曾
虽病,数,羡,空伴
满,深,花,洞
声声,云,六十,郡
送,寒,蘸,离心
应,知难,见,遥
泠寒,夜景,禁,月
双,翻身,南来雁,恐
草,游程,忘,秋雨
漏,碧松,静,送愁
秋光,扑,凉,坐
玉仙,月,人间,水彻
里,云,挂,山萝月
云,寂,秋,天
晓涧,上,山,校
诗思,蕙,香,更为
人间,多年,今来,不
十,银钩,天,映
羁,醉,岁别,头衔
手,何日,里秋风,云
汉苑,次,满,岂
红,香,元阁,数
满怀,见,山,背云楼
云,羸,见,乱
客,遥枉醉,须,欢情
君,郡,江声,日夜
山,霁,巡,绕
犹,再,笑,知命
离宫,冢,教,王
最,吹,犹,上少年
江南,头,尘土,悠悠
层,纤,月,燕
抹,睡,笑,破家
船,然,发,柳
风,看身,惆怅,江南
青,恨,肠,白头
满,云容,争,船
无州,马放,送,心愁
没流,树,云雨,明天
近,山,上,老
暮齐,萋萋,上何人,送
流,支,蛾眉,月
到寺,枝藜,秋色,向庐
男儿,花,借问,杨
香尘,草,东风,犹
汉离,罗,花,重来
海路,春,拂,马前
空,满,亡,犹
蛮,竹棚,海上,州
判,花,日,半
事力,无心,阁,后何人
亭亭,画裙,旁,乔家
子,花,一回肠,三
朔风,白罽,似月,揖笑
仙云,送,相请,三
开,御,满,三
天,船,失,横塘
散,紫,去,更济
石,征,犹,夜夜
渚,花,严陵,解
繁,官酒,女,笑
分,云,去,春堤
寻,怨,深,满
无,槐,兀,流
阶月,恨,车雨,教
朵朵,拂,依然,狂风
渚,花,严陵,解
鸟飞,落帆,先,还
湿罗,频,留,犹
夕,纹,船上,云
愁,唱,一别,风雨
解愁,乘月,子,吹笙
曲,青山水,醒,风雨
开,唱,山,来不来
柳鸣,爱,长吟,送愁
天,船,失,横塘
客,思京,明月,去
四,三,死长,教
落燕,安,乡,著别
坐,南国,山,高
未斜,嘒,南北,人才
花,封,宗,月
白日,侯家,深锁,花
追兵,松花,死,争
树,崩,秋,唯
秋寺,古,见,满
满台,清,终,开
送离,芳草,深醉,孤梦绕
君,山河,千载,云
梦,退身,犹,计
苍山,月,断,竹
萦,紫阁,云,锡
树,水忆,掩,白头
归去,山,甲子,莫
妃,丁丁,胡,天山
梦,月,翠,三十六
陌,冠,庙,老翁
清吟,云月,借问,花
第一流,烟愁,夜来省,里月
情,翠,明月,共愁
膺,留,中歌,夜来
去,真人,印,亲
澹,愁,倚前,塘
木兰,漙,夜长,渚
阴,留,无,江南
夜风,翠,天,桃花月
三惑,古藤,友,足言
新,登,桂,江南
生,仙,曲,刘桢
相疑,没,今日,芳草
龙,濛濛,君吟,北风
十,恩,骨寒,慈
销,壁,漠,妙
瑶台,中,缘,十
思,花,移,三十六
石,征,犹,夜夜
征雁,接,素,里
人,无私,久,王
梁,瑶池,姑,莫
无,犹恐,未免,教天
骑,台,心,昭陵
无尘,长春,骨,马来
阙郁,国楼台艳,醉,秦地
恩,忘言,草,见
未,巴山夜,共,巴山夜
榴实,鲜,瑶池,一千
咸池,更钟,三,梁
情,心惊,山,台
无尘,相,不,荷
风动,满,歌舞,腰
毫,奉龙,半夜,羡
云,纸,休,相如
暮霞,斑,笑,家
斯文,差池,春复,人间
散愁,岳阳,堪,枉
近,秋尘,莫,赠
方城,乱,高,自此
翠,半夜,遮雾,不知
卢,衣裳,衔粉,青楼
再,满,天地,中
未,君,相如渴,赐
不,谁省,锦,半作
拂,玉,玉,襄
玉,花,山鸡,罢
仙,结成冰,月,瑶台
漆,珍重,王,草
拂,游,清,带蝉
少,木,外,水西闻
无限,春宵,婿,早
恩,门,唐,许婚
粱,专场,晓梦,阳
司,门,物,虑
树,新泪,秋闰,度
两,素,青苔,中愁
家眠,月,堂蝙蝠出,窗弦
新人,主江,愿得,教
西馆,隔梦思,无限,秋菊
藩,曛,无,云
漫漫,降旗,晓梦,有龙
扉,违,掩,鹦鹉
卧,极,翠,共
新,人,不来,胡尘
相如,南行,巴西,寒芜
来夜,中庭,梁台,犹
斜,倚,蛱,等闲
不知,十,云,嵩
桐,含,无,秋琴
醮,帐,方,夫人
翩,船,今日,钱
任昉,最,梁台,公作
长亭,见,高,寻
岁点,哭虏尘,表,巡
分,横过,争,年年一度
欲构,平台,人间,山
白蜜,蜂,觉,得知
上霜,湖光,寒,夜姮
汉,卢,王,三十六
云山,阳台,珠,人间
郡,眠,门人,崇
孱,没,移关,山
晡,雍此,高,无
有余,三,留,信
复东,征,辽阔,日日
下,相,子,有愁
竹扉,清晖,右,裁
见,古时,宓妃,灌均
因循,才命,安,盏芳
玉墀,腰,龙,偃师
流,失,前奏,凉
山上,流,雨,玉
瑶池,哀,八,重
香,流光,恩,年华
岁,风光,亭,永
天险,瑶光,休,徐
运,安,丰,羽何
饧,流,老,秋千
灌均,夜来人,天子,赋
久,烟雾,俱,西陵
晓河,窗户,上,芙蓉
永定,发,人情,减路
山,参差,吊,各西
愁,楼,欲问,不知
里天,满,风波,锁
叠,长江,石,泪痕
酒,空中,毛竹,老
天,昔虚传,费,来不
梨,命断,寄否,风水
百,云,惊破,野鸡
羽翼,运,接,青松
合欢枝,共,吹管,春
滩,南风,胡,争
咨,今,犹锁,无宫
莫,春,明月,桂花开
玉,梦觉,后,云雨
岫,呵护,平,惟寿
云,移易,皆垂泪,朱
长乐,香,夸,云
近,比来,崇文,校
纵复,渐,东西,步兵
日日,香,浑,游
巫峡迢迢,云雨,人间,梦
赐酒,乐,宴归,沉醉
小鼎,道士,葵,记
沉沉,深,罢,漂
影,沈,常,碧海
啼露,非怨,掩,何日
狂,东方,肠,墙
正,相伴,清露,从来
无,西峰,炉,开门
芳,流,满,香
紫氛,相闻,只应,赠
香,金,无数,寸心
酒垆,无,物,文君
连天,仙,姑,桑田
平生,忆,墙,惟照
羡仙,暂,高,树
簟流,里南,还,闭门时
睡,筇杖,静,叶
神仙,落日,恨,王
黄昏,门,巡,孙
蝉,西风,泉,放斜
丁宁,送,万里无,梧桐忆
万,彩,雏乐,华池
岸,中行,相如,江过
两,正结,谢,嘉辰
树,没,恩,丹
繁,朝昏,未央宫,恩
春,恨,情长,声
封,负荆,羡,没
赊,咨,愿得,年华
窃,彩,英,精帘
锁,楸,倚绣,无
云,苑,终,泥
吹,流,树,时
逐臣,调,夜半,鬼神
曹,洛阳,逊,云
日乏,恨不胜,沧海,冰
上帝,青,孤,听
云,一闻,碧江,不
深,啭,相如,金
琴弦,倚坐,灵,令
无,玉,何日,伊
画,不顾,琵琶,汉宫
纷纷,荡,暮灞陵,将军
世间,瑶池,穿针夜,觑
绛纱,佳人,歌舞,木棉花
正,少,短亭,满
赠,还醉,江氏,花
老,几十,甲子,书亥字
三,中旬,处,玄晖
觉醉,已斜,散酒,花
精诚,盈,鼓吹,朿长
帝都,隘,身,姑
触,含,缺,未必
树绕,村,香,将愁
无,隔,蚌,共
幕,无,司马,斩
剩,龙,王宫,西施
赤松,芝翁,韩,虚
烟萝,腰,阳,根
征,五色,澄,留
东南,无,树,罗
铁,磨,东风,深锁
抹,睡,笑,破家
波,日日,木兰,不知
秋寺,古,见,满
银缸,偷声,贵,香
长安路,暂闲,病,每来
爱,黄,南国,今朝
瑶台,步,缘,十
蹑,晓天,朝阳号,梧桐待
闲,群峰,挂,解
十,烟花锦,仙,紫云
翠,曲,重,悬织女
关西,江外,三,声
沙极,草,半夜,山
阙,朝日,道,天云里
三十六,堪,楼望,婵
曲,书终,今何,策
绝杯,斋,经不夜,阶
开,梨,轮月,来不来
解,犹,曾缘,旧
共,挂,里无穷,翠
赏,花,掩,日斜
满堂,清宵,三,微
一人,姝,雨露,嫁
嫁,双行,江海,轻
沉思,尘埃,更见,不
犹,客来,浮生自得,人间
庙,深,共,莫
惊,相逢,爱,今日
开,又须,莫断,弟子
长,两,三山,市井
中庭,深,不语,料
砂,翠,立,高
休,恨谩,醉,愁
冉冉,花前,花花不语,开
冥,螮蝀,好个,教
人世,持,事轻,开
共,坛,无,尘
沙,渚遍,孤村,永夜闻
近,日,花,青苔
父,谁少,张,贵
心,欲拟,万,不知
长,鸣,烟霞,树岩
报国,凉,汉,战
湄,川东,教,朝宗
毛鹰,初暖,无,翻身
三,探,边无事,官军
锦,貂,三,酒楼
旌,子,无,十八
玉,触,天,无
里松,开,上界,香
轩,谩,脱,高
不假,雪白,送,炙
路长,茫茫,几度,草
池,愁,重重,风流
日,书,风光,杯觞
语,公卿,抱辕留,挥
松岸,湲,见,归去来
哭,城闻,山,舁
重九,五湖,还,菊花
坚辞,空伴,闲雅,山
不置,橡,山,最
最,云轩,言语,满
泣,依旧,世,上
深,微月,花,金
恩,香,恨身,御
绿绕,春草,中,应
日,树,霓裳,弟子
花边,上,空来,有愁
滨,惨,碑,辜负
山台,筱,风雨夜,早
皆到,烟霜,追,不假
净,游,火,一溪
有余,云,扬州,花枝
影渐,不知,乡,人间
竹阁,见,风雨,声
有岩,摇,发,三十六
风雨,若何,不知,秋山重叠
菊,起杖,龙,落帽
卢,床,坐,无
画,处处,山,中
芙蓉,岩,晋,抛力
山,共,高,还
尘,含,雁,处
重重,嘶,山路,云
渺,背帆,离别,何日
处处,尘,事,人
树如烟,客重,树,风雨
心事,无尘,山道士,应识
改,马伏,歌舞,夕阳
覆,横,斋酒,公
雁,愁,新,徘徊
云,横滟,秋正,情何
梁尘,姹,渚,满
闲,数,霁,山
竹,半日,犹,红尘
霭霭,处处,帆影,水禽
愁,塘,苑,流
江楼,天,人,依稀
园,满,无,看
乱,醉,犹,春风
思,花态,金,吴州
姚,槐,谁见,声
树,近檐,声,道场
横,春,花枝,无
茫茫,山,玉,倚斜
条,倚,不知,犹
玉钩,云,最,依约
养,事事,酒,春风
千,灯前,调伏,祖师
声,闻,发,五湖
禁,故国,无限,深
正怜,雁,犹,独何
春日,愁,残,满
萋萋,残阳,曾,东西
千,稀,春来,百花
紫微郎,满,见,香
又曛,云,利,娥属
轩,人间,脱,高
芙蓉,杨,相逢,身
梦,条,觉,娃
暮尘,上琴,君如,楚弦
楼畔,满帘,遗钿处,春思
野,马嘶,去,古来
秦,依江,花,时节
独无功,华发,旧吟,春风
二年,胸襟,泣,船
繁,成,无,妃
云,台,瘦,乱蝉
朱门,酬,魂,西风
花,日日,郡,乡
影,无,兄弟,花露
云,水管弦,醉,酒
马,闲人,事,一半
无,安,还,何人
疏林,山,尽日,笑
满,流,羡,白头
近,满,相逢,半夜
淹,马上,鬓,玉泉
蔬圃,竹,乱,似雪
残雪,台上,丁,归来
丛岩,树,微月,满
莫,一半,春野,条
雪叠,恨,去,俱
泉,云,条,辛
花,逐,花,欺
玉,拥,玉,强
攀,也何,折,乡
祝融,步步,外寺,白云
外孙,老,万里无,旧识
道士,几许,阎,犯星
御,送,玉案,光
逐民,满,死,牛
无,事樵,中远,白日
人,深,吹,南北
只,频,骑,早
郭休,写,笑,金钱
新竹管,粉,看,分题
开,粲照人,无,苍苍
闱,橘归,回首,鹏飞
正,君,影,湘
云,相亲,时,人间
时,雪怕,江南,鞭
水复,泥,抬,夜来
西去不复返,水东流,落日,沙
新,台,北风,胡雁
无,滑夜,开,声
金,临洮,单于,乱斫
拂,独,敲,翠
云,威,送迎,劝
将军,酣,犹,落
君,翠,羡,拂
剑,塞雁,欲识,新
罢,下,局,下山
绳床,笠,声,冷灯
恩,香,恨身,御
山归,暮雨,亦,送
脉脉,脸,刺,尽日
苑,极,见,船
遗策,不,固非,知
重武材,开,将军,关
红绕,春草,中,应
日,清宫,霓裳,弟子
歌长,香,终,犹
两,花草,禁,佩
苑,尽宫,不,著
珠宫,阁,明月,身
裁,白云,恩,草
珠宫,人间,睡侣,分
近,禁,金,两重
花物,格,尚,金
稀,九,贵处,晴晖
玉,居,极,绿烟
红画,吾庐,今来,诗篇
妃,新,终,井
山,尽可,偏重,墓上
新,台,北风,胡雁
樱,识,树,座久
雅,尚词,弱,清朝
深,岭头,一望无他,心
山屐,遥见,成,合
咏过,人,便吟,春
马,老莱,不暇吟,未
日,忧,一望,负身
莽莽,清,无益,夜栏
云峰,谁仙,人何,老
魁,风,无益,驽蹄
山,尽斜,巨石,无
状屈,落日,不,休
接吾庐,谷雨,欺,残
摇摇,灰,乐,归去来
独难,爱酬,恐,枉
云,草,南北,满
商,条,半夜,弹
留十,花,老,看花
征,未,夕阳,开
砧,东西,生万,流出
无,春风,茫茫,还
雨后天,近,桑,深
未,儒衣,不语,入
秋庭,竹,还,松枝
明,声,条烛,风景画
山,路尘,乐,闲
年华,马上,醉,觉
物,根,泉,见
清朝,下僚,身,萧萧
岸,春风,寒食,看多
吹,叶垂垂,种,众鸟
共,截远,邻笛,深
台,深映,须,歌舞
石,月,树,中夜
客西,通,爱,初日
门,阱离,树,上月
坐,寥,甃,半庭
近来,违,衰心,非关四十九
敌,满,眉,斋
有余,凤,窗过,书
山,威,相,间
王,寄,由来,鸡
忆,情,寒吟,满
事,折,睡,秋千
香,青楼,相,笑不休
欲,尽日,初病,禳时
春来,唱,餐,诗
失,杨,相,人
合,调,韩,莫窃
中,此日无功,主,胜于
无,鞍马,翠,风吹
罢,调,未,娥
余,似村,人间,幸
有余,乖,蹉,犹
一院,事,还,嫌官学
拥,新,将军,报国
故园,竹,心,还家
舸冲,上,游人,德星
上马,恨,天乐,不
深,扫,花可待,破
古城,相,巡,行
乡,蜡,山,雨
餐,无难,绳床,真经
笠,蜀山,秋,满
非夫,偏州,国,无
巡关,还,莫,人头
门,愁,上此,楼
不,未休,融,柱
天,江南,宰,炉
绣衣,翠,乐,盛
羊,五夜,独,余声
燕赵,花,声,九
道,石纪,谁论,犹
相望,连樯堤,渡,满
台上,共,歌,暮雨
稀出,情,前,光
丝,一望,孙,花
草,香,成,逢
翠,金,送,先归
梁苑,条,后,谁见
纤,春来,离别,条
酒,宴庾楼,醉,上京
送,霓裳,偷桃,汉
为绿水,乘骢,调,伤
竹,无,未必,人
东西,云,言,人是人非
眼明,事寡,学得,记
梦雨如尘,却胜,树,今日
醉,推人,双穷,花卉
月,机,玉,空霜
香,山,无,逐
香,少,行人,欲
春,滴松,不知,疑
真,愁,鹤去不返,流
向沧江,少,十,看
回时,駸,为报,旌
层,满,草,还
沅水,荆台,知,落梅
十,醉,寂,香
云箱,净,江明,身
玉,声有数,光,花
见,鸡,不,云
乡,心,无,恩
素,云壑,爱凡,梁
挂,樊笼,归去,中
玉,洞口,十,湲
乱,亩,合,书案
不知,数千,无,落时
草,新,棹,愁
雨,疏帘,秋光,残
春愁,人天,生,七
斑,新样,戴,云
微波,桃,北风,江南
火芳,绿花,千,人
泉,香,下视南,金
丈,逐,抛,沙滩
初,琚,极,没
水上,苦,结,早
旧,香,云雨无情,嫁
千金,人间,见,动
气蒙笼,树,锦步,羞数
暮,哀,极,青山绿
倚,饭,深,波远
波,声,会处,曾龙
深,情思,调,衾
怨,满,中,落灯
双鸾,影,花,一半
初,玉山,满,攀
萋萋,雁,春,桃花
碧,残,上,石坛
凝嚬,天边,不语,愁
香,飞雪,冷落,凉
落梅,解愁,玉,送
无,侣,上,香
落帽,行人,见桓,乡
出凡,数粒,静,声
利,刻骨,玉,云
不,昭,栖归,云
冉冉,吹,乡台,落梅
老,不,无,须
舞,玉,空庭,香抱
暝,子,兜率,溪水
天,失彩,今夜,丈
巡,纤,落,尖
无子,凋,嶂里,犹
吴隐之,草,皆望,四
满,即心,五百,清凉
风月,见,去,樗
春风,访,山,荒台
谁见,余,日,院
摩,缘,军持,岳阳
不,蜍,三,四
伸,梁,上百,今日
发,无限,友人,一心
中题,曙鸡,月,知
出家,御,见,春风
纷纷,闻,长,云
迥,寝,人,相
不知今夕,近,芙蓉,开
不,近,唯有,见
开,山,重重,淙
岸出,闻,共山,渡
机头,泉,台,三
黍,早秋,来说,满
尊,问此,半间,中
全,采茯神,白,白日
客舍,咸阳,更渡,故乡
石床,扉,不知,门
环炉,向月,半先,山
最,身,斑少,湘
雪后,房前,僧,三十
带月,岳阳,信,菩
碣石,人,寺里,点
冈,千,钺斧,赠
雪,孤灯,坐,江南
三十日,风光,今夜,春
抱,三十六,山,乌夜
堂,见,白石,哭此
床头,下池,未,山雨
巫峡过,房禅,后,栽松
邻静,上,去,外流
泉,孙,已掘,犹
古,事系,凉,山
道士,紫阳,上界,山
常,片,犹,山
无,哭,死,云山
三,漠,恨,今日
声,深,月,童
条峰,鹿,见,泉
池,蔷薇,蔷薇,君始
接药,碧琅,没,筠
井,秦,绠,将寒
萋萋,树光,主庙,声
树,孤驿,一自,至今
桥,消,送,山
凝,狐,赋,相如
关,匹,封,天山
相逢,下,淮阴市,月
抛兰棹,江湖,朱门,山
愁,狐,窗一夕,不待
看画,寂,教,五湖
丰,墨犹新,人同,犹
野花,中郎有,爱,莫
蟪蛄,江鸟,愁,五湖
林亭,树,外,山
菱棹,移,今日,钩
蔷薇,不知,今朝,开
咸阳,隔,水色,天
玉,教宁,雁,伊州
成,云轻,潇,楼
树,金,草木,秋
波,更何人,千,昙醉
氏,锦帆风,雨,池
阑,露,病,春风
花落叹,游人,残,月
溪水,三日,岭头,湲
篱芳,斜,寂寞,送
玉,秋,倩,满
成功,沉,甘定,芝翁
金,玉笙,无,发
满,宫,未,岂
濛濛,寒食,品,体
翁,逃,未,云
接星,白,上,香尘
销来水,妨,开,洛阳
笑,教天,看画,世人
苍苍,凉,朱瑀,红尾
变盛,五车,留,作帝
光,余,回天,妃泪
树声,引入,坡新,寒
楸枰,卢,谒帝,宣
三十六,裹,重抄,写
竹,楠,少,逍
东西,香,反语,索
春日,翦,通家,乡
楸,上,谒帝,宣
毫,磨,乐,毛
上,开,分,人间
前头,择,未胜,有名
开屈,花,姹女,斩
花,逋,素,莫遣
令,多识,草,许惠
晚晴,挽枝,岩,踪
恨索,里且,门前,说虞
云泉,皇,无,老祠
中三十,突,死,公卿
声,又醒,人间,依旧
探春,知,灰,枝
寒夜,动,惭愧,犹
泉,流,未,杵六
中,哀,欢宴,家家家
栉,万,花,树树
逢,成,素,泣
霁,倚,尽露,月
下,陇,容,征
月,忆,见,楚
关,参,将仙,相
草亭,彭泽,峰,浐
前,几千,香,饭
未识,坐,故园,五度
忽,无罪,长江,魂魄
钓,疑,道,上
枕前,禁,朝日,西岸
月疑,秋天,槐,愁
送,共,回别,棹
山,古湾,终不可,海得
闻,愁,发,满
天,旌,塞门,草
病,无,情,尽日
日,白皑皑,瑶迹,沼来
饮蝉,山蚁,美人见,一为
好,相,含笑,金
天台,危险,一百,谁见
香,凉,自忆,半
水灯,山光,山,笙
旧坟,流,未远,梨
楠,新,礼禅,人
女会,玉馔,檀郎,羡
三十骅,锁,东风,游曲
清光,醉,条,刘郎
覆井,百尺,下,放辘
哦兴,盏,船,淹
欢,送,行缆,别魂
草,占,极,杀
春风,溪水,三十,谁人
清,前年,依稀,树蝉
上苔,观,分流,引
桡,蜡炬,东风,滩
明,唧唧,睡,二十五
七,自古,次,兰
江,不用,女,恩
青袅袅,声,怅,墙
庙门,影,无,花愁
山,尽日,骨肉,翁
老鼠,开,健儿,君口
玉,不居,丹田,忙
走,山下,南征,无成
蝉,空庭,处,在七
茶,无,波,君恋
没,东风,安,故园
火光,朗朗,犊子,是栏
子,泛,湖光,非醉
黑,驱,叔常,天
千,开,得种,故园
天地,丈尺,书言不尽,人间
接吾庐,手,欺,残
府,萦纡,莫泛,凡
丁,骨,传,白
绝,凤楼,古洞,松花
山,香,空忆,污
春涧,山,柱,道士
犯虏尘,无,去阳,见
庐江城,尚未,台下,东山
衰,东流,台,满
旌,画龙衣,泰坛,万
柳色,送,无,御
游久,雁,雁,台
久,生,尽意,竹轩
袁,千,方酩,不知
年,存,今日,龙门
半额,袅,教,朝来
含,玉山,人,筑
人间,还,觅处,奸
不,信,律,解
湛,卑,皆,有旱
魃,合解,荒,怀
台,掷斗,赌取,闲人
醉,他家,低声,花
尘,达逢,使字,风动
相通,流,无,弹
箭头,十,傍行,何人
巡去不还,水云,珠泪,斑
万,云,今日,凤林
可知,初破,征,衣
掩,渭津,不,至今
恩,濛濛,人,曲
销,鞭,昔时,凤林
道士,下天,碧,朱点
音信,梦到,频,满衣
起雁,愁,吹,人头
夏日,池塘,精帘,一院
云愁,巡,水,改
新,青春,醉,人
酒,醒,好,阁下
坑,休,坦荡,条
春枝,唱,花,频
真性,烟霞,信,罗山下
狂,争,罢无余,乱
日,愁,里朝天,已五
花,坐,上,人间
台,半,翁,开
门,峨,红额,将军
影,四望,会,挂
新,持,老,不知
柳色,金,笙,重
张,几多,肠,胡天
坐,江鳞,花,送
驱兵,恩,静,泪痕
声,商,才,调
满塘,香,龙,狂时
铅,犹,不知,只
市,见,芳,瑟瑟
稻,掩扉,春,醉
罪,与屈,烟月夜,应
宸,丹凤楼,山色,满
稀,游人,落日,花
洛阳,百花,死,孙
孤舟,桡,离别,流
早,有蝉,半,中宵
爱,相关,归去,巾边
流,犹,解求,将军
鼓声,春风,正,征桡
留,愁,死,瑶台
踡,嘶,奇,一齐
流,便归,犹,人间
亡,王,合,何待
战功,空,无,满
蟠,高踪,主垂,茅庐
长城,骨,皆孀,解
为重,秦师,无,问抱
龙舟,流,春风,送
万古,台,上,草
血,鋋,田,鲁
年溺,传河,宰,神
猛,到邑,灾沴,犹
先诚,皆笑,应讶,公卿
朱,纷纷,苑,玉
素,全轻,皆,马卿
乌,梦齐,有酒,人间
吹,君,千,毛
橐,灰松,剑飞,云
晋臣,翠,散艳,风月
朝野,官,憔,骚
磨事,留龙,中,烈士
钓,山,轩,客星
贤,漂,便累,恩
傍舍,相,开关,不必
踌躇,忙,爱,携笼
流,元,事,全
沙,夫,歌舞,不觉
奸,翻,莫雪,见
不行,谋生,年,虽平
人,调,玉,掩
作缧,茹,发,封
杀,感得,重,苍苍
入,没,祠,犹疑
台,歌长,仙,颦眉望
处昏,销魂,直节流,千秋
花木,满,人间,海南
云愁,未休,新,旧
三,手,延平,风云布
文明,力争,故乡,负拔
散,突,羞容,却江
最,愁,几许,坠
汉,闻,得意,解
万,迎龙,君,门
濛濛,隋,还,嫩
重兴,无,事轻,桐
鹿群,匡,书,蒲
宴竟,尽入,亡,吹
